상품명,성분,스펙,이미지,샘플
내추럴리스,버진울 100%,50g / 90m,naturalis.jpg,
스피릿,버진울 94% / 캐시미어 6%,50g / 140m,spirit.jpg,
갤럭시,버진울 40% / 나일론 22% / 알파카 20% / 코튼 14% / 폴리에스테르 4%,50g / 240m,galaxy.jpg,
셜리,알파카 45% / 버진울 45% / 나일론 10%,50g / 45m,shirley.jpg,
노마드,버진울 85% / 야크 15%,25g / 125m,nomad.jpg,
모자이크,버진울 95% / 나일론 5%,100g / 140m,mosaic.jpg,
인피니티,버진울 100%,100g / 260m,infinity.jpg,
프로미스,버진울 90% / 나일론 10%,100g / 260m,promise.jpg,
도네갈 트위드 플러스,버진울 100%,50g / 105m,donegaltweed+.jpg,
피닉스,버진울 93% / 나일론 7%,100g / 270m,phoenix.jpg,
야크,버진울 70% / 야크 30%,50g / 120m,yak.jpg,
수리 알파카,알파카 100%,25g / 100m,surialpaca.jpg,
레이스 라메,모헤어 55% / 실크 30% / 폴리에스테르 8% / 나일론 7%,25g / 310m,lacelame.jpg,
레이스,모헤어 58% / 실크 42%,25g / 310m,lace.jpg,
캐시미어 라이트,캐시미어 88% / 나일론 12%,25g / 85m,cashmerelight.jpg,
캐시미어 레이스,캐시미어 100%,25g / 165m,cashmerelace.jpg,
메리노 400 레이스,버진울 100%,25g / 200m,merino400lace.jpg,
카르페디엠,뉴울 70% / 알파카 30%,50g / 90m,carpediem.jpg,
모헤어 럭스,모헤어 77% / 실크 23%,25g / 175m,mohairluxe.jpg,
메리노 플러스,버진울 100%,50g / 90m,merino+.jpg,
자울 꼭지실,버진울 75% / 나일론 25%,5g / m,fersenwolle.jpg,
캐시미어 프리미엄,캐시미어 100%,25g / 115m,cashmerepremium.jpg,
팔리에트,나일론 55% / 폴리에스테르 45%,25g / 112m,paillettes.jpg,
메리노 120,버진울 100%,50g / 120m,merino120.jpg,
FAM 290 컬렉션,73가지 패턴(31 YARNS),,fam290.jpg,
울애딕츠 #17,39가지 패턴(10 YARNS),,wa17.jpg,
푼토 93 클라우드/프로미스,13가지 패턴(2 YARNS),,punto93.jpg,
푼토 97 내추럴리스,10가지 패턴(1 YARNS),,punto97.jpg,
푼토 98 갤럭시,8가지 패턴(1 YARNS),,punto98.jpg,
푼토 100 인피니티,10가지 패턴(1 YARNS),,punto100.jpg,
자울,버진울 75% / 나일론 25%,50g / 210m,jawoll.jpg,
비너스,버진울 50% / 코튼 50%,50g / 170m,venus.jpg,
글래머,폴리에스테르 36% / 나일론 30% / 모헤어 25% / 울 9%,50g / 200m,glamour.jpg,
아스트라,폴리에스테르 60% / 나일론 40%,25g / 550m,astra.jpg,
미스테리,버진울 92% / 나일론 8%,50g / 110m,mystery.jpg,
오리온,버진울 88% / 나일론 12%,100g / 270m,orion.jpg,
로비스,버진울 100%,50g / 170m,lovis.jpg,
요코,아크릴 36% / 알파카 27% / 울 21% / 나일론 16%,50g / 110m,yoko.jpg,
뮤즈,알파카 80% / 나일론 17% / 버진울 3%,100g / 580m,muse.jpg,
